BATCH ES-01-320–ES-01-365 weather rework
Repo: devlij/jason-ds-vision-spain-preview
Directive: 2026-09-25 Jason — one fresh Open-Meteo HTTP retrieval per scene.
Provider: Open-Meteo forecast API (https://api.open-meteo.com/v1/forecast). Model data only.
Timezone: Europe/Madrid (CEST, UTC+02:00). No Canary scenes in this range.
Ceuta and Melilla keep the on-image Europe/Madrid label; Africa/Ceuta is the same UTC offset.
Rule: retrieval timestamp unique to the second repo-wide; scenario minute inside that scene's model-valid hour.
Images: not regenerated. On-image caption, scenario timestamp, disclosure, and signature unchanged.
approval_state: Candidate (not marked Approved).
Count: 46

entry_id	scenario_label	retrieval_timestamp	model_valid_hour	timezone	lat	lon	temp_c	weather_code	weather_label	cloud_pct	precip_mm	wind_kmh	is_day	sunrise	sunset
ES-01-320	24 September 2026 · 01:49 Europe/Madrid	2026-09-26T01:42:53+02:00	2026-09-24T01:00+02:00	Europe/Madrid	43.3840	-4.3980	14.2	1	mainly clear	24	0	1.1	0	08:06	20:11
ES-01-321	24 September 2026 · 01:49 Europe/Madrid	2026-09-26T01:42:54+02:00	2026-09-24T01:00+02:00	Europe/Madrid	43.3820	-3.2140	17.2	1	mainly clear	39	0	3.9	0	08:02	20:06
ES-01-322	24 September 2026 · 01:49 Europe/Madrid	2026-09-26T01:42:55+02:00	2026-09-24T01:00+02:00	Europe/Madrid	43.4280	-4.0400	15.9	3	overcast	87	0	7.6	0	08:05	20:10
ES-01-323	24 September 2026 · 01:49 Europe/Madrid	2026-09-26T01:42:56+02:00	2026-09-24T01:00+02:00	Europe/Madrid	43.1450	-4.8140	17.1	0	clear	0	0	2.6	0	08:08	20:13
ES-01-324	24 September 2026 · 01:49 Europe/Madrid	2026-09-26T01:42:57+02:00	2026-09-24T01:00+02:00	Europe/Madrid	43.4630	-3.8060	18.7	3	overcast	92	0	5.4	0	08:04	20:09
ES-01-325	24 September 2026 · 01:16 Europe/Madrid	2026-09-26T01:42:58+02:00	2026-09-24T01:00+02:00	Europe/Madrid	40.9652	-5.6641	18	3	overcast	83	0	3.1	0	08:12	20:16
ES-01-326	24 September 2026 · 01:24 Europe/Madrid	2026-09-26T01:42:59+02:00	2026-09-24T01:00+02:00	Europe/Madrid	42.3407	-3.7004	18.1	3	overcast	100	0	8.7	0	08:04	20:08
ES-01-327	24 September 2026 · 01:33 Europe/Madrid	2026-09-26T01:43:00+02:00	2026-09-24T01:00+02:00	Europe/Madrid	42.5997	-5.5661	22	0	clear	0	0	5.4	0	08:11	20:16
ES-01-328	24 September 2026 · 01:50 Europe/Madrid	2026-09-26T01:43:01+02:00	2026-09-24T01:00+02:00	Europe/Madrid	40.6547	-4.6967	17.7	2	partly cloudy	64	0	5.1	0	08:08	20:12
ES-01-329	24 September 2026 · 02:00 Europe/Madrid	2026-09-26T01:43:02+02:00	2026-09-24T02:00+02:00	Europe/Madrid	40.9525	-4.1325	18.1	2	partly cloudy	69	0	8.4	0	08:05	20:10
